yr,stpcd,stpnm,sex,age,admigrp,n_admi
2018,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,f,child,NA,1
2018,SF999,SF999,m,adult,xfer,2
2018,Q7200,Q7200,f,adult,xfer,1
2018,SF900,SF900,f,child,paeds-emer,1
2018,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",m,child,xfer,163
2018,Q5400,Q5400,f,adult,daycase,4
2018,QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,NA,adult,daycase,2
2018,QNX,NHS SUSSEX INTEGRATED CARE BOARD,m,adult,NA,116
2018,QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,m,adult,reg,1447
2018,QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,NA,child,birth,2
2018,14,14,f,adult,emer,3
2018,ZB1,ZB1,f,adult,daycase,10
2018,Q79,Q79,f,adult,xfer,11
2018,DUM002,NonSTP (Wales Region),f,child,paeds-elec,628
2018,YAC,YAC,m,adult,ordelec,94
2018,ZC3,ZC3,f,child,xfer,1
2018,0DF,0DF,f,adult,xfer,1
2018,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,NA,child,birth,6
2018,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,f,adult,birth,116
2018,M8200,M8200,m,adult,daycase,8
2018,DUM001,NonSTP (England Region),m,adult,birth,3
2018,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",f,child,mat,395
2018,Q78,Q78,f,adult,daycase,10782
2018,Q8600,Q8600,f,adult,daycase,648
2018,SC999,SC999,m,adult,daycase,2
2018,Q33,Q33,m,adult,daycase,1
2018,OVS,OVS,f,child,paeds-emer,1
2018,QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,f,adult,ordelec,11088
2018,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",m,child,birth,4566
2018,Q72,Q72,f,child,paeds-elec,123
2018,Q74,Q74,f,adult,mat,22
2018,SL900,SL900,f,child,paeds-emer,4
2018,YAD,YAD,m,adult,emer,6
2018,5PF,5PF,m,adult,emer,1
2018,YK100,YK100,f,adult,xfer,1
2018,SCOT,SCOT,m,adult,ordelec,2
2018,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,m,child,reg,21
2018,YDD82,YDD82,f,adult,xfer,11
2018,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,f,child,daycase,2057
2018,Q7400,Q7400,f,child,paeds-emer,45
2018,Q88,Q88,f,child,paeds-emer,140
2018,5D700,5D700,f,child,paeds-elec,2
2018,Q8600,Q8600,f,child,paeds-elec,19
2018,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,f,child,daycase,1525
2018,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,m,child,paeds-elec,1869
2018,RQQ00,RQQ00,m,adult,daycase,3
2018,QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,m,child,birth,3022
2018,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,f,child,paeds-emer,28296
2018,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,f,adult,daycase,43944
2018,OSP,OSP,f,adult,daycase,4
2018,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,f,child,reg,21
2018,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",NA,adult,ordelec,1
2018,ST999,ST999,f,child,paeds-emer,2
2018,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,f,child,paeds-elec,949
2018,Q7000,Q7000,f,adult,xfer,2
2018,29,29,m,adult,daycase,1
2018,SH999,SH999,f,adult,daycase,5
2018,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,f,adult,xfer,1337
2018,NULL,NULL,f,adult,xfer,1
2018,Q8400,Q8400,f,child,paeds-emer,1
2018,5D700,5D700,m,adult,emer,42
2018,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",f,NA,emer,8
2018,Q8100,Q8100,m,child,paeds-elec,3
2018,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,f,child,xfer,78
2018,30,30,f,adult,emer,2
2018,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,f,adult,reg,46876
2018,QVV,NHS DORSET INTEGRATED CARE BOARD,m,child,daycase,1207
2018,Q7700,Q7700,f,adult,daycase,1008
2018,QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,m,adult,daycase,25509
2018,Q77,Q77,f,child,paeds-elec,37
2018,Q8000,Q8000,f,child,paeds-elec,18
2018,Q81,Q81,f,child,birth,5
2018,SJ999,SJ999,f,child,paeds-elec,3
2018,Q79SD,Q79SD,f,adult,emer,54
2018,Q84,Q84,f,adult,reg,1
2018,SG900,SG900,f,adult,mat,1
2018,RA2,RA2,m,adult,daycase,286
2018,Q55,Q55,f,adult,daycase,8
2018,SF900,SF900,f,adult,mat,1
2018,3100,3100,m,adult,emer,1
2018,QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,m,child,NA,1
2018,SS900,SS900,m,adult,emer,30
2018,Q7900,Q7900,f,adult,daycase,1128
2018,Q75,Q75,m,adult,ordelec,226
2018,Q50,Q50,m,child,paeds-emer,1
2018,EXT,EXT,f,child,daycase,29
2018,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,f,NA,birth,4
2018,SK900,SK900,f,adult,ordelec,2
2018,YDDC9,YDDC9,NA,child,paeds-emer,1
2018,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,m,child,xfer,58
2018,Q64,Q64,f,adult,mat,4
2018,Q85,Q85,m,child,paeds-elec,6
2018,Q83,Q83,NA,child,paeds-emer,1
2018,QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",m,child,birth,5704
2018,SJ999,SJ999,f,adult,mat,1
2018,Q7100,Q7100,f,child,paeds-elec,2552
2018,QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,f,child,daycase,1961
2018,0AE,0AE,f,adult,reg,6
2018,4100,4100,f,adult,emer,1
2018,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,f,adult,ordelec,14157
2018,SS999,SS999,m,adult,daycase,41
2018,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,f,adult,birth,8
2018,ERROR,ERROR,f,child,paeds-elec,1
2018,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,NULL,adult,daycase,2
2018,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,NA,child,paeds-emer,1
2018,598,598,m,adult,emer,117
2018,Q71,Q71,m,adult,NA,3
2018,QNX,NHS SUSSEX INTEGRATED CARE BOARD,f,adult,NA,78
2018,DUM002,NonSTP (Wales Region),f,child,reg,200
2018,QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,m,child,reg,14
2018,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,f,adult,mat,30480
2018,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",f,NA,NA,21
2018,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,f,child,reg,10
2018,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,f,child,reg,33
2018,X98,X98,m,adult,daycase,161
2018,Q8200,Q8200,f,adult,reg,8205
2018,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,m,NA,emer,21
2018,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",m,NA,NA,2
2018,SN900,SN900,f,child,daycase,6
2018,Q50,Q50,m,adult,emer,1
2018,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,m,adult,xfer,1384
2018,38,38,m,child,paeds-emer,1
2018,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,f,child,NA,1
2018,SV9,SV9,m,adult,emer,22
2018,13,13,m,child,paeds-emer,1
2018,Q8300,Q8300,NA,child,daycase,1
2018,SF9,SF9,m,adult,ordelec,4
2018,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,m,NA,ordelec,1
2018,QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,m,child,xfer,57
2018,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,f,adult,ordelec,8861
2018,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,f,child,paeds-elec,1538
2018,IOM,IOM,f,adult,ordelec,18
2018,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,f,child,paeds-emer,4725
2018,Q71,Q71,m,adult,emer,7569
2018,Q7800,Q7800,f,child,paeds-emer,96
2018,Q8800,Q8800,f,adult,daycase,352
2018,QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,f,NA,emer,3
2018,QNX,NHS SUSSEX INTEGRATED CARE BOARD,NA,child,birth,1
2018,X98,X98,NA,NA,NA,1
2018,SJ999,SJ999,f,adult,daycase,1
2018,Q7100,Q7100,m,NA,birth,1
2018,Q79,Q79,m,adult,xfer,18
2018,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,m,adult,reg,12812
2018,Q8500,Q8500,f,child,paeds-elec,36
2018,2500,2500,m,adult,daycase,1
2018,SJ9,SJ9,f,adult,emer,7
2018,ZC4,ZC4,m,child,paeds-emer,2
2018,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",m,child,daycase,2272
2018,QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,f,child,birth,2813
2018,4200,4200,m,adult,reg,1
2018,SN9,SN9,m,child,paeds-emer,3
2018,QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,f,adult,emer,25403
2018,SS999,SS999,f,adult,ordelec,7
2018,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,NA,adult,daycase,4
2018,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,m,adult,xfer,725
2018,400,400,f,adult,emer,2
2018,QNX,NHS SUSSEX INTEGRATED CARE BOARD,f,adult,xfer,1095
2018,YAE00,YAE00,m,child,xfer,2
2018,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,NA,adult,emer,3
2018,QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,m,adult,ordelec,6349
2018,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,f,NA,birth,3
2018,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,m,child,paeds-emer,10087
2018,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,NULL,adult,reg,83
2018,QSL,NHS SOMERSET INTEGRATED CARE BOARD,f,child,birth,1904
2018,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,f,adult,daycase,89366
2018,QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,f,adult,mat,20331
2018,QSL,NHS SOMERSET INTEGRATED CARE BOARD,m,adult,reg,2466
2018,QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,m,child,xfer,86
2018,Q8700,Q8700,f,child,xfer,2
2018,YAE00,YAE00,f,adult,mat,5
2018,SJ999,SJ999,m,child,daycase,3
2018,YAE,YAE,m,adult,ordelec,6
2018,DUM001,NonSTP (England Region),NA,child,paeds-emer,5
2018,SJ900,SJ900,m,adult,xfer,2
2018,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,m,adult,ordelec,5932
2018,QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",NA,adult,emer,1
2018,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,f,NA,emer,1
2018,X9800,X9800,m,child,paeds-emer,21
2018,SL999,SL999,f,adult,emer,25
2018,5A8,5A8,m,adult,reg,1
2018,Q7800,Q7800,f,child,paeds-elec,11
2018,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,NA,adult,emer,4
2018,598,598,f,child,paeds-emer,6
2018,SJ999,SJ999,m,adult,ordelec,3
2018,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,NA,child,paeds-emer,1
2018,Q8600,Q8600,m,child,mat,2
2018,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,f,child,daycase,2896
2018,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,f,adult,ordelec,25545
2018,QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",f,adult,daycase,59034
2018,DUM001,NonSTP (England Region),f,child,mat,145
2018,Q7000,Q7000,m,child,daycase,44
2018,XMD00,XMD00,m,adult,xfer,1
2018,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,f,child,paeds-emer,12481
2018,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,m,adult,emer,28401
2018,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,f,child,paeds-elec,952
2018,Q65,Q65,f,adult,xfer,13
2018,Q8400,Q8400,m,child,paeds-emer,4
2018,Q65,Q65,f,child,daycase,45
2018,SV999,SV999,f,child,paeds-emer,2
2018,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,f,child,paeds-elec,770
2018,YAC00,YAC00,f,adult,daycase,19
2018,QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,NULL,child,reg,1
2018,Q86AF,Q86AF,m,adult,daycase,43
2018,QJK,NHS DEVON INTEGRATED CARE BOARD,f,adult,NA,7
2018,IOM,IOM,m,adult,xfer,6
2018,X9800,X9800,m,child,paeds-elec,18
2018,Q51,Q51,m,adult,daycase,2
2018,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,NA,adult,daycase,18
2018,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,NA,adult,daycase,5
2018,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,m,child,paeds-emer,33599
2018,Q8400,Q8400,m,child,xfer,2
2018,QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",m,adult,emer,20400
2018,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,f,child,daycase,2221
2018,Q71,Q71,m,adult,reg,4962
2018,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,f,child,xfer,30
2018,QNQ,NHS FRIMLEY INTEGRATED CARE BOARD,m,adult,NA,2
2018,Q76PHS,Q76PHS,m,child,paeds-emer,1
2018,YAC00,YAC00,f,child,paeds-emer,2
2018,Q83,Q83,m,child,paeds-emer,217
2018,Q7100,Q7100,f,NA,birth,1
2018,Q77,Q77,f,child,daycase,613
2018,Q83,Q83,m,adult,xfer,4
2018,Q86,Q86,f,child,daycase,458
2018,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,NULL,adult,ordelec,1
2018,Q88,Q88,m,child,birth,2
2018,SH999,SH999,m,child,birth,1
2018,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",f,adult,ordelec,8982
2018,ZC000,ZC000,f,child,paeds-emer,1
2018,Q8600,Q8600,m,adult,daycase,511
2018,Q7500,Q7500,f,child,paeds-emer,4
2018,QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,f,adult,mat,35866
2018,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,f,child,daycase,3798
2018,QVV,NHS DORSET INTEGRATED CARE BOARD,m,adult,xfer,1139
2018,QJK,NHS DEVON INTEGRATED CARE BOARD,f,child,paeds-emer,9495
2018,QNQ,NHS FRIMLEY INTEGRATED CARE BOARD,m,NA,emer,8
2018,Q82,Q82,f,adult,mat,18
2018,0DF,0DF,f,adult,reg,8
2018,QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,f,child,paeds-emer,10444
2018,Q6800,Q6800,m,adult,daycase,13
2018,3,3,m,child,paeds-emer,1
2018,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,m,child,NA,1
2018,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,m,child,paeds-emer,6743
2018,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",f,child,birth,4513
2018,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",f,adult,emer,43966
2018,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,m,adult,NA,164
2018,DUM002,NonSTP (Wales Region),m,child,paeds-emer,1643
2018,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,f,child,daycase,2002
2018,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,f,child,xfer,64
2018,X98,X98,f,adult,daycase,217
2018,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,m,child,birth,3595
2018,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,f,adult,birth,32
2018,RJZ,RJZ,m,adult,ordelec,37
2018,X9800,X9800,m,adult,NA,1
2018,Q49,Q49,m,adult,ordelec,1
2018,YDD82,YDD82,m,child,daycase,23
2018,ZC2,ZC2,m,adult,ordelec,10
2018,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,m,child,birth,16403
2018,Q70,Q70,f,child,paeds-emer,231
2018,Q78SD,Q78SD,f,child,paeds-elec,14
2018,QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,m,adult,NA,51
2018,Q5800,Q5800,f,adult,daycase,1
2018,1500,1500,f,adult,emer,1
2018,Q8800,Q8800,m,adult,emer,80
2018,SJ9,SJ9,m,adult,emer,11
2018,ZC4,ZC4,f,child,paeds-emer,2
2018,Q7100,Q7100,m,child,paeds-elec,2889
2018,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",f,adult,daycase,78573
2018,X24,NHS_ENGLAND,m,child,daycase,2737
2018,QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,m,child,xfer,200
2018,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,f,child,paeds-elec,854
2018,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NA,adult,reg,4
2018,QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,f,NA,NA,1
2018,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,f,adult,xfer,725
2018,OAT,OAT,f,child,paeds-elec,1
2018,5D700,5D700,f,adult,emer,22
2018,SV999,SV999,m,adult,ordelec,3
2018,Q86,Q86,f,adult,emer,98
2018,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,f,child,paeds-emer,24319
2018,Q5600,Q5600,m,adult,ordelec,12
2018,YAE00,YAE00,m,adult,reg,8
2018,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,m,adult,mat,7
2018,QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,f,child,reg,7
2018,SJ900,SJ900,m,adult,ordelec,22
2018,SN900,SN900,f,adult,ordelec,11
2018,QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,m,adult,NA,5
2018,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,m,child,paeds-elec,1069
2018,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,m,adult,NA,19
2018,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",m,adult,daycase,43378
2018,QNX,NHS SUSSEX INTEGRATED CARE BOARD,f,adult,daycase,94098
2018,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",NA,child,daycase,1
2018,ST999,ST999,m,adult,ordelec,3
2018,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,m,adult,daycase,55329
2018,QSL,NHS SOMERSET INTEGRATED CARE BOARD,m,child,paeds-emer,4848
2018,QSL,NHS SOMERSET INTEGRATED CARE BOARD,m,adult,xfer,1099
2018,2500,2500,f,adult,emer,1
2018,4000,4000,f,adult,emer,1
2018,DUM001,NonSTP (England Region),f,adult,ordelec,71883
2018,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",m,adult,birth,5
2018,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,m,adult,mat,6
2018,SF900,SF900,m,adult,emer,17
2018,ZB1,ZB1,f,child,reg,2
2018,X24,NHS_ENGLAND,m,adult,NA,2
2018,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,m,child,xfer,107
2018,Q8600,Q8600,f,child,paeds-emer,22
2018,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,f,adult,mat,30290
2018,QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,m,child,mat,6
2018,SS9,SS9,f,adult,daycase,3
2018,QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,m,child,birth,2239
2018,Q7400,Q7400,m,child,daycase,942
2018,ST999,ST999,m,child,daycase,1
2018,QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,m,adult,ordelec,9157
2018,QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,f,adult,mat,19093
2018,5PF00,5PF00,m,child,birth,1
2018,ZB1,ZB1,m,child,paeds-emer,3
2018,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",m,adult,ordelec,7599
2018,Q79,Q79,f,child,paeds-emer,44
2018,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",m,adult,reg,431
2018,0DF,0DF,f,adult,daycase,48
2018,598,598,f,child,xfer,1
2018,QNQ,NHS FRIMLEY INTEGRATED CARE BOARD,f,adult,reg,7257
2018,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,f,NA,daycase,57
2018,ZC100,ZC100,f,adult,ordelec,1
2018,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,f,child,mat,427
